49ers,charlotte 49ers,,,,,,,,,,,,
a&m,alabama a&m bulldogs,texas a&m aggies,,,,,,,,,,,
abilene christian,abilene christian wildcats,,,,,,,,,,,,
aggies,new mexico state aggies,north carolina a&t aggies,texas a&m aggies,uc davis aggies,utah state aggies,,,,,,,,
colorado mines orediggers,colorado mines orediggers,,,,,,,,,,,,
colorado state,colorado state rams,,,,,,,,,,,,
colorado state rams,colorado state rams,,,,,,,,,,,,
colorado state university,colorado state rams,,,,,,,,,,,,
colorado state university rams,colorado state rams,,,,,,,,,,,,
columbia,columbia lions,,,,,,,,,,,,
columbia lions,columbia lions,,,,,,,,,,,,
commodores,vanderbilt commodores,,,,,,,,,,,,
concordia,concordia (qc) stingers,,,,,,,,,,,,
concordia university stingers,concordia (qc) stingers,,,,,,,,,,,,
conn,connecticut huskies,,,,,,,,,,,,
connecticut,connecticut huskies,,,,,,,,,,,,
connecticut huskies,connecticut huskies,,,,,,,,,,,,
convicts,miami hurricanes,,,,,,,,,,,,
cornell,cornell big red,,,,,,,,,,,,
cornell big red,cornell big red,,,,,,,,,,,,
cornhuskers,nebraska cornhuskers,,,,,,,,,,,,
cougars,byu cougars,houston cougars,washington state cougars,,,,,,,,,,
cougs,byu cougars,houston cougars,washington state cougars,,,,,,,,,,
cowboys,hardin-simmons cowboys,oklahoma state cowboys,wyoming cowboys,,,,,,,,,,
coyotes,south dakota coyotes,,,,,,,,,,,,
crimson,harvard crimson,,,,,,,,,,,,
crimson tide,alabama crimson tide,,,,,,,,,,,,
crusaders,holy cross crusaders,mary hardin-baylor crusaders,north greenville crusaders,,,,,,,,,,
csu,colorado state rams,,,,,,,,,,,,
cumberland,cumberland phoenix,,,,,,,,,,,,
cumberland phoenix,cumberland phoenix,,,,,,,,,,,,
cumberlands,cumberlands patriots,,,,,,,,,,,,
cumberlands patriots,cumberlands patriots,,,,,,,,,,,,
cuse,syracuse orange,,,,,,,,,,,,
cyclones,iowa state cyclones,,,,,,,,,,,,
dakota state,dakota state trojans,,,,,,,,,,,,
dakota state trojans,dakota state trojans,,,,,,,,,,,,
danes,albany great danes,,,,,,,,,,,,
dartmouth,dartmouth big green,,,,,,,,,,,,
dartmouth big green,dartmouth big green,,,,,,,,,,,,
davidson,davidson wildcats,,,,,,,,,,,,
davidson wildcats,davidson wildcats,,,,,,,,,,,,
dayton,dayton flyers,,,,,,,,,,,,
dayton flyers,dayton flyers,,,,,,,,,,,,
deacons,wake forest demon deacons,,,,,,,,,,,,
deacs,wake forest demon deacons,,,,,,,,,,,,
delaware,delaware fightin' blue hens,,,,,,,,,,,,
delaware fightin' blue hens,delaware fightin' blue hens,,,,,,,,,,,,
demon deacons,wake forest demon deacons,,,,,,,,,,,,
demons,northwestern state demons,,,,,,,,,,,,
depauw,depauw tigers,,,,,,,,,,,,
depauw tigers,depauw tigers,,,,,,,,,,,,
devils,arizona state sun devils,,,,,,,,,,,,
dickinson state,dickinson state blue hawks,,,,,,,,,,,,
dickinson state blue hawks,dickinson state blue hawks,,,,,,,,,,,,
dinos,calgary dinos,,,,,,,,,,,,
disciples,university of god's chosen disciples,,,,,,,,,,,,
dolphins,jacksonville dolphins,,,,,,,,,,,,
domers,notre dame fighting irish,,,,,,,,,,,,
dook,duke blue devils,,,,,,,,,,,,
dookies,duke blue devils,,,,,,,,,,,,
dragons,drexel dragons,,,,,,,,,,,,
drake,drake bulldogs,,,,,,,,,,,,
drake bulldogs,drake bulldogs,,,,,,,,,,,,
drexel,drexel dragons,,,,,,,,,,,,
drexel dragons,drexel dragons,,,,,,,,,,,,
ducks,oregon ducks,,,,,,,,,,,,
duke,duke blue devils,,,,,,,,,,,,
duke blue devils,duke blue devils,,,,,,,,,,,,
dukes,duquesne dukes,james madison dukes,,,,,,,,,,,
duquesne,duquesne dukes,,,,,,,,,,,,
duquesne dukes,duquesne dukes,,,,,,,,,,,,
eagles,boston college eagles,eastern michigan eagles,eastern washington eagles,georgia southern eagles,morehead state eagles,north carolina central eagles,southern miss golden eagles,tennessee tech golden eagles,,,,,
east carolina,east carolina pirates,,,,,,,,,,,,
east carolina pirates,east carolina pirates,,,,,,,,,,,,
east tennessee state,east tennessee state buccaneers,,,,,,,,,,,,
east tennessee state buccaneers,east tennessee state buccaneers,,,,,,,,,,,,
eastern illinois,eastern illinois panthers,,,,,,,,,,,,
eastern illinois panthers,eastern illinois panthers,,,,,,,,,,,,
eastern kentucky,eastern kentucky colonels,,,,,,,,,,,,
eastern kentucky colonels,eastern kentucky colonels,,,,,,,,,,,,
eastern michigan,eastern michigan eagles,,,,,,,,,,,,
eastern michigan eagles,eastern michigan eagles,,,,,,,,,,,,
eastern washington,eastern washington eagles,,,,,,,,,,,,
eastern washington eagles,eastern washington eagles,,,,,,,,,,,,
ecu,east carolina pirates,,,,,,,,,,,,
ecu pirates,east carolina pirates,,,,,,,,,,,,
edward waters,edward waters tigers,,,,,,,,,,,,
edward waters tigers,edward waters tigers,,,,,,,,,,,,
elon,elon phoenix,,,,,,,,,,,,
elon phoenix,elon phoenix,,,,,,,,,,,,
emu,eastern michigan eagles,,,,,,,,,,,,
emu eagles,eastern michigan eagles,,,,,,,,,,,,
ewu,eastern washington eagles,,,,,,,,,,,,
ewu eagles,eastern washington eagles,,,,,,,,,,,,
falcons,air force falcons,bowling green falcons,,,,,,,,,,,
fau,fau owls,,,,,,,,,,,,
fau owls,fau owls,,,,,,,,,,,,
fightin' blue hens,delaware fightin' blue hens,,,,,,,,,,,,
fighting camels,campbell fighting camels,,,,,,,,,,,,
fighting hawks,north dakota fighting hawks,,,,,,,,,,,,
fighting illini,illinois fighting illini,,,,,,,,,,,,
fighting irish,notre dame fighting irish,,,,,,,,,,,,
finland,finland national team,,,,,,,,,,,,
finland national team,finland national team,,,,,,,,,,,,
fiu,fiu panthers,,,,,,,,,,,,
fiu golden panthers,fiu panthers,,,,,,,,,,,,
fiu panthers,fiu panthers,,,,,,,,,,,,
flames,liberty flames,illinois fighting illini,indiana hoosiers,iowa hawkeyes,,,,,,,,,
flash,st. francis red flash,,,,,,,,,,,,
flashes,kent state golden flashes,,,,,,,,,,,,
florida,florida gators,,,,,,,,,,,,
florida a&m,florida a&m rattlers,,,,,,,,,,,,
florida a&m rattlers,florida a&m rattlers,,,,,,,,,,,,
florida atlantic,fau owls,,,,,,,,,,,,
florida atlantic owl,fau owls,,,,,,,,,,,,
florida atlantic owls,fau owls,,,,,,,,,,,,
florida gators,florida gators,,,,,,,,,,,,
florida international,fiu panthers,,,,,,,,,,,,
florida international panthers,fiu panthers,,,,,,,,,,,,
florida state,florida state seminoles,,,,,,,,,,,,
florida state seminoles,florida state seminoles,,,,,,,,,,,,
flyers,dayton flyers,,,,,,,,,,,,
fordham,fordham rams,,,,,,,,,,,,
fordham rams,fordham rams,,,,,,,,,,,,
foxes,marist red foxes,,,,,,,,,,,,
fresno state,fresno state bulldogs,,,,,,,,,,,,
fresno state bulldogs,fresno state bulldogs,,,,,,,,,,,,
frogs,tcu horned frogs,,,,,,,,,,,,
fsu,florida state seminoles,,,,,,,,,,,,
fsu seminoles,florida state seminoles,,,,,,,,,,,,
furman,furman paladins,,,,,,,,,,,,
furman paladin,furman paladins,,,,,,,,,,,,
furman paladins,furman paladins,,,,,,,,,,,,
gaels,queen's university gaels,,,,,,,,,,,,
gamecocks,jacksonville state gamecocks,south carolina gamecocks,,,,,,,,,,,
gardner webb,gardner-webb runnin' bulldogs,,,,,,,,,,,,
gardner-webb runnin' bulldogs,gardner-webb runnin' bulldogs,,,,,,,,,,,,
gators,florida gators,,,,,,,,,,,,
georgetown,georgetown hoyas,,,,,,,,,,,,
georgetown hoyas,georgetown hoyas,,,,,,,,,,,,
georgia,georgia bulldogs,,,,,,,,,,,,
georgia bulldogs,georgia bulldogs,,,,,,,,,,,,
georgia southern,georgia southern eagles,,,,,,,,,,,,
georgia southern eagles,georgia southern eagles,,,,,,,,,,,,
georgia state,georgia state panthers,,,,,,,,,,,,
georgia state panthers,georgia state panthers,,,,,,,,,,,,
georgia tech,georgia tech yellow jackets,,,,,,,,,,,,
georgia tech yellow jackets,georgia tech yellow jackets,,,,,,,,,,,,
giants,wabash little giants,,,,,,,,,,,,
golden bears,alberta golden bears,california golden bears,kutztown golden bears,,,,,,,,,,
golden domers,notre dame fighting irish,,,,,,,,,,,,
golden eagles,southern miss golden eagles,tennessee tech golden eagles,,,,,,,,,,,
golden flashes,kent state golden flashes,,,,,,,,,,,,
golden gophers,minnesota golden gophers,,,,,,,,,,,,
golden hawks,wilfrid laurier golden hawks,,,,,,,,,,,,
golden panthers,fiu panthers,,,,,,,,,,,,
gophers,minnesota golden gophers,,,,,,,,,,,,
governors,governors,,,,,,,,,,,,
grambling state,grambling state tigers,,,,,,,,,,,,
grambling state tigers,grambling state tigers,,,,,,,,,,,,
grand valley state,grand valley state lakers,,,,,,,,,,,,
grand valley state lakers,grand valley state lakers,,,,,,,,,,,,
great danes,albany great danes,,,,,,,,,,,,
green wave,tulane green wave,,,,,,,,,,,,
griffons,missouri western griffons,,,,,,,,,,,,
grizzlies,montana grizzlies,,,,,,,,,,,,
gryphons,guelph gryphons,,,,,,,,,,,,
gt,georgia tech yellow jackets,,,,,,,,,,,,
guelph,guelph gryphons,,,,,,,,,,,,
guelph gryphons,guelph gryphons,,,,,,,,,,,,
hail saban,alabama crimson tide,,,,,,,,,,,,
hampton,hampton pirates,,,,,,,,,,,,
hampton pirates,hampton pirates,,,,,,,,,,,,
hardin-simmons,hardin-simmons cowboys,,,,,,,,,,,,
hardin-simmons cowboys,hardin-simmons cowboys,,,,,,,,,,,,
harvard,harvard crimson,,,,,,,,,,,,
harvard crimson,harvard crimson,,,,,,,,,,,,
hastings,hastings broncos,,,,,,,,,,,,
hastings broncos,hastings broncos,,,,,,,,,,,,
hatters,stetson hatters,,,,,,,,,,,,
hawai'i,hawai'i rainbow warriors,,,,,,,,,,,,
hawaii,hawai'i rainbow warriors,,,,,,,,,,,,
hawaii rainbow warriors,hawai'i rainbow warriors,,,,,,,,,,,,
hawaii warriors,hawai'i rainbow warriors,,,,,,,,,,,,
hawkeyes,iowa hawkeyes,,,,,,,,,,,,
hawks,dickinson state blue hawks,iowa hawkeyes,lehigh mountain hawks,monmouth hawks,north dakota fighting hawks,wilfrid laurier golden hawks,,,,,,,
heels,north carolina tar heels,,,,,,,,,,,,
henderson st,henderson state reddies,,,,,,,,,,,,
henderson state reddies,henderson state reddies,,,,,,,,,,,,
hens,delaware fightin' blue hens,,,,,,,,,,,,
herd,marshall thundering herd,,,,,,,,,,,,
hilltoppers,wku hilltoppers,,,,,,,,,,,,
hogs,arkansas razorbacks,,,,,,,,,,,,
hokies,virginia tech hokies,,,,,,,,,,,,
holy cross,holy cross crusaders,typo!!!! fix in db?,,,,,,,,,,,
holy cross crusaders,holy cross crusaders,,,,,,,,,,,,
hoos,virginia cavaliers,,,,,,,,,,,,
hoosiers,indiana hoosiers,,,,,,,,,,,,
horned frogs,tcu horned frogs,,,,,,,,,,,,
hornets,alabama state hornets,sacramento state hornets,,,,,,,,,,,
houston,houston cougars,,,,,,,,,,,,
houston baptist,houston baptist huskies,,,,,,,,,,,,
houston baptist huskies,houston baptist huskies,,,,,,,,,,,,
houston cougars,houston cougars,,,,,,,,,,,,
houston cougs,houston cougars,,,,,,,,,,,,
howard,howard bison,,,,,,,,,,,,
howard bison,howard bison,,,,,,,,,,,,
hoyas,georgetown hoyas,,,,,,,,,,,,
hurricanes,miami hurricanes,,,,,,,,,,,,
huskers,nebraska cornhuskers,,,,,,,,,,,,
huskies,connecticut huskies,houston baptist huskies,northern illinois huskies,washington huskies,,,,,,,,,
idaho,idaho vandals,,,,,,,,,,,,
idaho state,idaho state bengals,,,,,,,,,,,,
idaho state bengals,idaho state bengals,,,,,,,,,,,,
idaho vandals,idaho vandals,,,,,,,,,,,,
illini,illinois fighting illini,,,,,,,,,,,,
illinois,illinois fighting illini,,,,,,,,,,,,
illinois fighting illini,illinois fighting illini,,,,,,,,,,,,
illinois state,illinois state redbirds,,,,,,,,,,,,
illinois state redbirds,illinois state redbirds,,,,,,,,,,,,
indiana,indiana hoosiers,,,,,,,,,,,,
indiana hoosiers,indiana hoosiers,,,,,,,,,,,,
indiana state,indiana state sycamores,,,,,,,,,,,,
indiana state sycamores,indiana state sycamores,,,,,,,,,,,,
iowa,iowa hawkeyes,,,,,,,,,,,,
iowa hawkeyes,iowa hawkeyes,,,,,,,,,,,,
iowa state,iowa state cyclones,,,,,,,,,,,,
iowa state cyclones,iowa state cyclones,,,,,,,,,,,,
irish,notre dame fighting irish,,,,,,,,,,,,
isu,iowa state cyclones,,,,,,,,,,,,
itawamba cc indians,itawamba cc indians,,,,,,,,,,,,
indians,itawamba cc indians,,,,,,,,,,,,
iu,indiana hoosiers,indiana hoosiers,illinois fighting illini,,,,,,,,,,
jackets,georgia tech yellow jackets,,,,,,,,,,,,
jackrabbits,south dakota state jackrabbits,,,,,,,,,,,,
jackson state,jackson state tigers,,,,,,,,,,,,
jacksonville,jacksonville dolphins,,,,,,,,,,,,
jacksonville dolphins,jacksonville dolphins,,,,,,,,,,,,
jacksonville state,jacksonville state gamecocks,,,,,,,,,,,,
jacksonville state gamecocks,jacksonville state gamecocks,,,,,,,,,,,,
jaguars,south alabama jaguars,southern university jaguars,,,,,,,,,,,
james madison,james madison dukes,,,,,,,,,,,,
james madison dukes,james madison dukes,,,,,,,,,,,,
james madison university dukes,james madison dukes,,,,,,,,,,,,
javelinas,texas a&m-kingsville javelinas,,,,,,,,,,,,
